hidden_dims,batch_size,dropout_rate,learning_rate,lam,gamma,l2norm_pct,max_epochs,precision
"(64,)",135,0.11092134391073699,3.1261662164947863e-06,0.09733769250778156,0.7031151492206525,93,392,-1.0
"(64,)",113,0.35206134232107955,4.2199567355219134e-06,0.012664295409018847,0.6492458288491291,77,439,-1.0
"(64,)",142,0.1743857949587987,5.1700859263718185e-06,0.09447859766008833,0.12799862096614886,93,692,-1.0
"(64, 32)",102,0.1295134151763235,7.711013861038168e-06,0.01897491912054886,0.05382678667733712,85,199,-1.0
"(64,)",144,0.3674421845311564,2.708504766174954e-06,0.06487120193957442,0.6822443550001986,84,492,-1.0
"(64,)",149,0.291223150126153,4.915299985648264e-06,0.06728335558055236,0.8591914251457888,79,658,0.527632344386271
"(64,)",123,0.19718303896148584,2.4858740685526447e-06,0.06764657774413164,0.2682934420565348,84,365,-1.0
"(64,)",139,0.22635362576078488,2.8076425731626203e-06,0.07511737853174968,0.7901607917553889,80,664,-1.0
"(64,)",118,0.055322655119347454,5.740181985470864e-06,0.09343841289441816,0.9234415594981106,81,515,0.5695171611401978
"(64,)",81,0.389160987313582,6.536630024868179e-06,0.09240855803765861,0.8203658849822074,76,538,0.6457242582897034
"(64,)",144,0.34214017065551144,8.784561419923682e-06,0.01308292949995744,0.8929262133558011,89,637,0.5764979639325188
"(64, 32)",92,0.06508024402414002,1e-05,0.07358695463558382,0.7726561068355521,88,519,-1.0
"(64,)",147,0.14111375404199544,1e-05,0.08420356914048045,0.7722114505178729,80,626,-1.0
"(64,)",88,0.1754313041631108,8.2018568965515e-06,0.09510545558848266,0.8789507874860337,76,455,0.6247818499127399
"(64, 32)",125,0.4,1.785947930451315e-06,0.05583661885929716,0.38633641274579855,76,663,0.3077370564281559
"(64,)",104,0.3921806064068982,7.096716063359104e-06,0.021249497113846084,0.708080076462999,89,558,-1.0
"(64,)",77,0.11121926677723906,9.023454787325007e-06,0.08253131778260446,0.999,82,385,0.6096567771960442
"(64, 32)",104,0.3021036593521058,1e-07,0.06909978911733566,0.4711881032426967,95,323,0.19884787692019681
"(64,)",95,0.4,1e-05,0.1,0.8903592028220149,77,432,-1.0
"(64,)",142,0.3798364892547852,7.709898682657085e-06,0.0001,0.9436507107256286,88,615,0.5695171611401978
"(64, 32)",66,0.27111643219096465,2.818811684221735e-07,0.011188230677319612,0.27486182752406846,87,603,0.24898196625945315
"(64, 32)",142,0.01773702443985962,2.265309982055855e-06,0.09758446351603813,0.19347840972176694,82,578,-1.0
"(64, 32)",80,0.14321937618477534,5.807944066107636e-06,0.0193141727898364,0.8445871511359127,82,188,-1.0
"(64, 32)",125,0.27810333192622305,2.0047139366786646e-06,0.014477538970478175,0.5473128384430975,95,413,0.2898028343916242
"(64, 32)",131,0.1959002122316893,5.456881205049157e-07,0.06950597651626654,0.6990882414343558,82,661,0.24162524544264982
"(64, 32)",138,0.024057070765970273,1e-07,0.01825392925709571,0.9081591483050975,87,309,0.26521855415798395
"(64, 32)",123,0.0757270893452353,1.898031601206914e-06,0.0431891239754239,0.8394647511726825,91,178,0.3131796588573548
"(64, 32)",119,0.2758808599656879,1.700147203897912e-06,0.012096092255848592,0.999,77,152,-1.0
"(64, 32)",92,0.10481595833508724,2.457935412356509e-06,0.005459562533379511,0.7079253749391676,88,664,0.5299592786503781
"(64,)",125,0.05968552882761115,7.4612734205641804e-06,0.004777793501460832,0.09322925518117262,89,668,-1.0
"(64, 32)",81,0.19031587939886327,3.966879159440869e-06,0.03890775644728805,0.5483235423165562,81,296,-1.0
"(64,)",88,0.2830565039276692,5.775761682480774e-06,0.07015302555641283,0.8373189595399401,75,183,-1.0
"(64,)",100,0.33931793739290755,6.569785764475259e-06,0.07937738587455426,0.8696911061252978,76,692,0.610238510762071
"(64,)",100,0.08396990139806873,5.641986075117791e-06,0.02416829080131948,0.9966100982368874,90,439,0.5654450261780105
"(64,)",110,0.11514246387931493,7.63852193901867e-06,0.0044968393176347205,0.999,90,329,0.5648632926119838
"(64, 32)",66,0.07686644616075664,9.343879623288352e-07,0.07729560557839024,0.5256451478077807,80,700,0.4264107038976149
"(64, 32)",120,0.016784438905744683,2.1968238025687102e-06,0.031225748372786303,0.7227902154491722,80,518,0.39325189063408955
"(64,)",82,0.08753801404581964,8.013454022357975e-06,0.04096385474665661,0.9855431520977538,81,177,0.5671902268760908
"(64,)",142,0.18981494932217105,8.487319238212644e-06,0.0495535397826226,0.9669573466871726,84,569,0.5683536940081443
"(64, 32)",106,0.10048958938057993,1e-07,0.0398232247592593,0.7601514733716661,84,150,0.23037664751871254
"(64,)",132,0.13017397286846238,4.7411089357226116e-06,0.07698271943494343,0.999,94,700,0.5561372891215823
"(64,)",64,0.4,7.515747159971994e-06,0.1,0.999,95,432,0.6375799883653287
"(64, 32)",79,0.13972822718447175,6.028557251159066e-06,0.038752379036736465,0.999,88,700,0.6608493310063991
"(64,)",69,0.27158568720866805,5.925737348865162e-06,0.05574118047238576,0.999,75,700,0.6224549156486329
"(64, 32)",112,0.1950440258839617,5.435971803193363e-06,0.061653373524635804,0.999,94,700,0.6759744037230947
"(64,)",71,0.29320524556499716,8.660122160291797e-06,0.05436004317184313,0.8253657155278938,92,150,-1.0
"(64, 32)",93,0.07659525410324486,5.2776393990823405e-06,0.1,0.8655577153471266,76,700,0.6905177428737638
"(64, 32)",70,0.0357005375238037,8.361428676572587e-06,0.1,0.999,93,396,-1.0
"(64, 32)",64,0.2750122593793818,2.9435827052643386e-06,0.00220295355823385,0.8719302787994765,89,700,0.6666666666666666
"(64, 32)",106,0.1849670048951305,1e-07,0.0992804365280091,0.8956248524237358,87,700,0.26677488941984767
